stock,selloff_date,entry_date,exit_date,branch,z,spy_z,vr,ret,ret_net,bench_ret,excess_ret
CVS,2016-05-23,2016-05-26,2016-06-03,market_wide,-3.6531023531729025,-2.554776850405866,1.3333719215202031,-0.007323848165567082,-0.008323848165567083,0.003396099709721101,-0.011719947875288184
CVS,2016-06-01,2016-06-06,2016-06-13,idiosyncratic,-2.6267078130928256,0.012432278810867784,0.7859709561404985,-0.005503466602183815,-0.006503466602183815,-0.017821349923272334,0.011317883321088518
CVS,2016-06-10,2016-06-15,2016-06-22,market_wide,-2.720307242468157,-2.2876437004963797,1.2861665977823618,-0.02384910645040672,-0.02484910645040672,0.013485865796307506,-0.03833497224671423
CVS,2016-06-20,2016-06-23,2016-06-30,market_wide,-5.451211907152859,-1.7735573310626018,1.5158571321801377,0.018293755477400753,0.017293755477400752,-0.008834588474677774,0.026128343952078525
CVS,2016-07-27,2016-08-01,2016-08-08,market_wide,-3.593673994279918,-1.0808806034970995,1.13347063773164,0.03946941061785458,0.03846941061785458,0.01034755093756945,0.028121859680285133
CVS,2016-08-19,2016-08-24,2016-08-31,market_wide,-2.7830750867578375,-1.260391470616125,0.9210996408491755,-0.03879803182120678,-0.03979803182120678,-0.0034804493850189022,-0.03631758243618788
CVS,2016-08-29,2016-09-01,2016-09-09,market_wide,-2.9455141484734733,-1.2247061888884905,1.4623300327815347,-0.019813803407577657,-0.020813803407577658,-0.021258396773716326,0.00044459336613866807
CVS,2016-09-13,2016-09-16,2016-09-23,market_wide,-4.0365861237755105,-3.378605952590239,0.8405453321225823,0.0053265802683797325,0.0043265802683797325,0.005004006904600011,-0.0006774266362202788
CVS,2016-09-26,2016-09-29,2016-10-06,market_wide,-2.652443298386092,-1.7188455169335175,0.7619092182286389,-0.03417130068730756,-0.03517130068730756,0.00046664779374938625,-0.03563794848105695
CVS,2016-10-04,2016-10-07,2016-10-14,market_wide,-4.0999872348125175,-2.189271681976996,1.1626420272931068,0.027777543988405595,0.026777543988405594,-0.011352373982761343,0.03812991797116694
CVS,2016-10-28,2016-11-02,2016-11-09,market_wide,-6.815023346303405,-3.3475981863872866,3.2470556709824367,-0.08802885687781836,-0.08902885687781836,0.032704106988164394,-0.12173296386598276
CVS,2016-11-09,2016-11-14,2016-11-21,idiosyncratic,-2.861682971015644,1.0987207417054894,1.645283489864131,-0.023684080416897957,-0.024684080416897958,0.012465274414397154,-0.03714935483129511
CVS,2016-11-17,2016-11-22,2016-11-30,idiosyncratic,-2.564426385081573,0.20057718707395822,0.5515207094186966,0.04484333940045415,0.04384333940045415,0.0014458839034783288,0.04239745549697582
CVS,2017-01-26,2017-01-31,2017-02-07,idiosyncratic,-3.705317649524377,-0.23013406193657107,1.1831065873947768,-0.031087058797147127,-0.03208705879714713,0.007668170262319807,-0.039755229059466934
CVS,2017-03-09,2017-03-14,2017-03-21,market_wide,-2.5136615240630817,-2.677431313401952,0.9538898987827047,-0.01602175392814087,-0.01702175392814087,-0.003580581725119769,-0.013441172203021101
CVS,2017-03-17,2017-03-22,2017-03-29,market_wide,-3.9795852664733213,-1.1073282423520467,3.3102360883968633,0.0038238059470701025,0.0028238059470701024,0.006843716643052167,-0.004019910695982064
CVS,2017-03-27,2017-03-30,2017-04-06,market_wide,-2.639011497807466,-2.6252089542980928,0.6570923383837651,-0.02333561747236701,-0.02433561747236701,-0.006698925702856351,-0.01763669176951066
CVS,2017-04-05,2017-04-10,2017-04-18,market_wide,-6.076360641521094,-1.6451524664235122,2.331081729887897,0.005654575124451666,0.004654575124451666,-0.009411272512039881,0.014065847636491546
CVS,2017-05-17,2017-05-22,2017-05-30,market_wide,-6.775739486699647,-7.704275345697817,2.46298389087137,0.005632749318215113,0.004632749318215113,0.015040942185524653,-0.01040819286730954
CVS,2017-05-25,2017-05-31,2017-06-07,idiosyncratic,-2.8737254247665374,0.7268525815551287,0.7318465278511785,0.01731091254429229,0.01631091254429229,0.0066196217239873345,0.009691290820304954
CVS,2017-06-16,2017-06-21,2017-06-28,market_wide,-4.017702981831464,-1.7014064418874042,2.894192652537122,0.039534406951893475,0.038534406951893474,0.012523039261852942,0.026011367690040532
CVS,2017-07-10,2017-07-13,2017-07-20,market_wide,-2.6644651240541473,-1.1585007885273146,0.675114114277049,-0.0033141210657833264,-0.0043141210657833265,0.008238990937486923,-0.01255311200327025
CVS,2017-07-18,2017-07-21,2017-07-28,idiosyncratic,-2.683852873857343,0.06096060603476785,1.123927728303298,0.035310926405832,0.034310926405832,-0.005541588401309916,0.039852514807141914
CVS,2017-08-18,2017-08-23,2017-08-30,market_wide,-3.951258785137274,-2.9772141444217755,1.0706005150449596,-0.01584817920452941,-0.016848179204529412,0.008262581767731092,-0.025110760972260504
CVS,2017-10-11,2017-10-16,2017-10-23,idiosyncratic,-2.67166410972714,0.20808879026912397,1.0329785326906793,0.05479676670581313,0.053796766705813126,0.013739994116731546,0.04005677258908158
