stock,low_date,entry_date,exit_date,pct1,exit_reason,ret,ret_net,days_held,bench_ret,excess_ret
CRM,2017-06-12,2017-06-14,2017-06-15,0.012648020580674177,early_reversal,-0.01032456270855786,-0.011324562708557862,1,-0.0033480881129018814,-0.00797647459565598
CRM,2017-09-15,2017-09-19,2017-09-20,0.01172985349761022,early_reversal,-0.0014682474966567494,-0.0024682474966567494,1,-0.0009970303316552132,-0.0014712171650015362
CRM,2017-11-29,2017-12-01,2017-12-04,0.007630625086129628,early_reversal,-0.03833200916261237,-0.03933200916261237,1,-0.004563478192725623,-0.034768530969886746
CRM,2018-05-17,2018-05-21,2018-05-22,0.007219408280169443,early_reversal,-0.007359494147985202,-0.008359494147985203,1,-0.0019527756311987776,-0.006406718516786425
CRM,2018-06-25,2018-06-27,2018-07-05,0.01719335433919564,hold_days,0.04916708055357932,0.04816708055357932,5,0.013123655247187171,0.03504342530639215
CRM,2018-07-24,2018-07-26,2018-07-27,0.019657755439147676,early_reversal,-0.024802046536858913,-0.025802046536858914,1,-0.005144626011264752,-0.02065742052559416
CRM,2018-12-17,2018-12-19,2018-12-20,0.011388774653947366,early_reversal,-0.0261513712075927,-0.0271513712075927,1,-0.012369017642686275,-0.014782353564906425
CRM,2019-01-24,2019-01-28,2019-01-29,0.019541205287685024,early_reversal,-0.014593201217282248,-0.015593201217282249,1,0.0030939173120607677,-0.018687118529343016
CRM,2019-12-04,2019-12-06,2019-12-09,0.011442825683692233,early_reversal,-0.003354471575759188,-0.004354471575759188,1,-0.0023906989973137005,-0.0019637725784454876
CRM,2021-01-12,2021-01-14,2021-01-15,0.012342301255009746,early_reversal,-0.011409981393272983,-0.012409981393272984,1,-0.00784831241605266,-0.004561668977220323
CRM,2022-01-05,2022-01-07,2022-01-14,0.006500475852809239,hold_days,0.012789536090447307,0.011789536090447306,5,-0.0029333576663613803,0.014722893756808686
CRM,2022-12-16,2022-12-20,2022-12-28,0.00576918146154173,hold_days,0.00015568242045249647,-0.0008443175795475035,5,-0.005104614155658993,0.0042602965761114895
CRM,2024-03-05,2024-03-07,2024-03-14,0.01680314476519455,hold_days,0.004286171325710297,0.0032861713257102973,5,-0.0018772262535833306,0.005163397579293628
CRM,2024-04-15,2024-04-17,2024-04-18,0.01652634648307246,early_reversal,-0.015923437291700537,-0.016923437291700538,1,-0.0041669354518844015,-0.012756501839816137
CRM,2025-04-04,2025-04-08,2025-04-15,0.014329624723029613,hold_days,0.04647954514038988,0.045479545140389877,5,0.05815689314257799,-0.012677348002188116
CRM,2025-05-23,2025-05-28,2025-05-29,0.01486467572574407,early_reversal,-0.03300350191383661,-0.03400350191383661,1,0.002666364643949981,-0.03666986655778659
CRM,2025-11-20,2025-11-24,2025-12-02,0.007720666907648741,hold_days,0.03478521328737627,0.03378521328737627,5,0.02081157439785608,0.01297363888952019
XOM,2016-01-04,2016-01-06,2016-01-07,0.008520852524311123,early_reversal,-0.016006369575980894,-0.017006369575980895,1,-0.025773932591221405,0.00876756301524051
XOM,2016-11-29,2016-12-01,2016-12-02,0.01629780846657752,early_reversal,-0.002292011061952648,-0.003292011061952648,1,0.001294546418340481,-0.004586557480293129
XOM,2017-01-10,2017-01-12,2017-01-20,0.010240525776796596,hold_days,-0.005211876286256301,-0.006211876286256301,5,-0.00574950347342118,-0.00046237281283512035
XOM,2017-01-19,2017-01-23,2017-01-30,0.013690572508101335,hold_days,-0.0012946228289431039,-0.002294622828943104,5,0.00829638464600091,-0.010591007474944014
XOM,2017-02-22,2017-02-24,2017-03-03,0.010502970891277367,hold_days,0.01702053022979233,0.01602053022979233,5,-0.0016158181905617797,0.01763634842035411
XOM,2017-03-08,2017-03-10,2017-03-13,0.007898544881929247,early_reversal,-0.0023287051308952256,-0.0033287051308952256,1,0.0002818376237336828,-0.0036105427546289084
XOM,2017-04-19,2017-04-21,2017-04-28,0.0064603521485640065,hold_days,0.011897524855623454,0.010897524855623453,5,0.018355319331582853,-0.007457794475959401
XOM,2018-03-23,2018-03-27,2018-03-28,0.01522830146483709,early_reversal,-0.012075967531453125,-0.013075967531453125,1,0.00039953715188767447,-0.0134755046833408
XOM,2019-08-05,2019-08-07,2019-08-14,0.009675676255068648,hold_days,-0.028494167607423404,-0.029494167607423405,5,-0.01135150907425142,-0.018142658533171985
XOM,2019-12-03,2019-12-05,2019-12-12,0.011343597078340198,hold_days,0.028212026122689027,0.027212026122689026,5,0.026840975096760644,0.0003710510259283817
