stock,L1_date,H1_date,L2_date,entry_date,exit_date,rise1,drop2,ret,ret_net,bench_ret,excess_ret
GILD,2025-08-22,2025-09-05,2025-09-12,2025-09-23,2025-09-30,0.002439727703094693,0.0043459801137967335,-0.029720283662895475,-0.030720283662895476,-0.008794694229128486,-0.02192558943376699
GILD,2025-09-12,2025-09-23,2025-09-25,2025-10-07,2025-10-14,0.005625882233282066,0.02980775716372094,0.01455732344854499,0.013557323448544989,0.0013189004790028491,0.01223842296954214
GILD,2026-04-24,2026-05-01,2026-05-08,2026-05-11,2026-05-18,0.009585852419400498,0.002430698746696623,-0.02883471266160187,-0.02983471266160187,-0.0015896429099591103,-0.02824506975164276
GILD,2026-06-02,2026-06-16,2026-06-18,2026-06-26,2026-07-06,0.0038894233691336893,0.027273409246107373,0.013528333484624788,0.012528333484624787,-0.001859699818786864,0.014388033303411651
EMR,2015-09-23,2015-09-30,2015-10-01,2015-10-02,2015-10-09,0.011449784040416534,0.03146960003545032,0.06698327858720665,0.06598327858720665,0.04372496181978436,0.022258316767422293
EMR,2016-10-12,2016-10-26,2016-10-27,2016-10-31,2016-11-07,0.0047805869131869825,0.01189537653388398,-0.005722041072730888,-0.006722041072730888,0.008990002076418202,-0.01571204314914909
EMR,2016-10-27,2016-10-31,2016-11-04,2016-11-08,2016-11-15,0.01685409013974458,0.025059203386636482,0.0866938560859114,0.0856938560859114,0.02447773657517871,0.06121611951073269
EMR,2016-12-14,2016-12-20,2016-12-28,2017-01-11,2017-01-19,0.018482584755174482,0.01762329785246175,0.014938061817523662,0.013938061817523661,-0.012190591089714431,0.026128652907238092
EMR,2017-03-21,2017-03-28,2017-04-07,2017-04-10,2017-04-18,0.008141350719261324,0.0013461085846963434,-0.020294975225733314,-0.021294975225733315,-0.009411173819691476,-0.011883801406041838
EMR,2017-04-12,2017-04-20,2017-05-02,2017-05-03,2017-05-10,0.012837894374865237,0.00016870776085638488,0.002439913544424188,0.0014399135444241882,0.006611623574346526,-0.0051717100299223375
EMR,2017-05-02,2017-05-10,2017-05-12,2017-05-19,2017-05-26,0.004303623563961632,0.02528457078317986,-0.008080687437628464,-0.009080687437628465,0.01747640085708646,-0.026557088294714926
EMR,2017-05-26,2017-06-08,2017-06-21,2017-07-03,2017-07-11,0.012389549852937312,0.01693184630739397,-0.007137219518031368,-0.008137219518031369,-0.004262730860532193,-0.0038744886574991755
EMR,2018-05-25,2018-06-05,2018-06-13,2018-06-14,2018-06-21,0.0024832082508824383,-0.0015135351693153691,-0.050754617063890395,-0.051754617063890396,-0.01840481852061171,-0.033349798543278686
EMR,2018-10-23,2018-11-01,2018-11-09,2018-11-16,2018-11-26,0.014209286747796514,0.020872149028703404,-0.043091047196828214,-0.044091047196828215,-0.03207565901472087,-0.012015388182107345
EMR,2018-12-17,2018-12-27,2019-01-03,2019-01-04,2019-01-11,0.010388310603581532,0.01466386860136603,0.03851303056437483,0.03751303056437483,0.019785271908788538,0.01772775865558629
EMR,2019-03-07,2019-03-13,2019-03-22,2019-03-29,2019-04-05,0.00921252283984339,0.015606412571781404,0.038995100745352396,0.037995100745352395,0.018581216844273607,0.019413883901078788
EMR,2019-11-13,2019-11-21,2019-12-02,2019-12-05,2019-12-12,0.006567882748550437,0.002718786291584493,0.04041615129218501,0.03941615129218501,0.02684084656302299,0.012575304729162018
EMR,2020-08-18,2020-08-24,2020-08-31,2020-09-01,2020-09-09,0.01887100150806382,0.0025842763713713234,-0.020390462702517764,-0.021390462702517765,-0.020075189666834303,-0.0013152730356834619
EMR,2020-12-22,2020-12-31,2021-01-04,2021-01-06,2021-01-13,0.013109732936455867,0.0293643412107754,0.007436439775889259,0.006436439775889259,0.014442171743582755,-0.008005731967693497
EMR,2021-04-13,2021-04-16,2021-04-30,2021-05-06,2021-05-13,0.01732305777438589,0.018546803705964263,0.016059930050493998,0.015059930050493997,-0.013079603150787489,0.028139533201281486
EMR,2021-08-18,2021-08-24,2021-09-01,2021-09-02,2021-09-10,0.017612771304146978,-0.0060917081459442935,-0.05307461958704396,-0.05407461958704396,-0.020428990317765128,-0.03364562926927883
EMR,2021-10-27,2021-10-28,2021-11-03,2021-11-05,2021-11-12,0.014144589998731569,0.022972077219058036,7.465377805315754e-05,-0.0009253462219468425,0.010746161747227534,-0.011671507969174377
EMR,2021-11-26,2021-12-06,2021-12-14,2021-12-15,2021-12-22,0.006976097378329967,-0.004508388416050843,-0.0308423724609993,-0.0318423724609993,-0.016868163075035914,-0.014974209385963388
EMR,2021-12-14,2021-12-15,2021-12-17,2021-12-28,2022-01-04,0.01510689035654943,0.021999198596685875,0.03165023688612001,0.030650236886120008,0.011955140142148268,0.01869509674397174
EMR,2022-01-25,2022-02-01,2022-02-11,2022-02-14,2022-02-22,0.013923921570068323,-0.029826480568242508,-0.013089475391280692,-0.014089475391280692,-0.018075537274928388,0.003986061883647696
EMR,2022-06-16,2022-06-24,2022-07-05,2022-07-19,2022-07-26,0.012715842827217144,0.03535286629143053,0.02225191924477854,0.02125191924477854,0.0011138768160039447,0.020138042428774594
EMR,2022-09-22,2022-10-03,2022-10-12,2022-10-13,2022-10-20,0.00013245388315539816,-0.025946404811134333,-0.007921666756354417,-0.008921666756354418,0.002258660155130432,-0.01118032691148485
EMR,2023-02-08,2023-02-15,2023-02-21,2023-03-06,2023-03-13,0.010815081837416644,0.050347016180776194,-0.06024088622644452,-0.061240886226444524,-0.04799188359752693,-0.013249002628917594
EMR,2023-02-21,2023-02-28,2023-03-09,2023-03-14,2023-03-21,0.008043921052715102,-0.008825810092771367,0.01083146769080634,0.00983146769080634,0.015306076721459672,-0.005474609030653332
EMR,2023-06-23,2023-06-26,2023-07-06,2023-07-07,2023-07-14,0.018804843573163775,0.000792740449798935,0.035416994938558766,0.034416994938558765,0.033558061236034664,0.0008589337025241006
EMR,2023-07-21,2023-07-24,2023-07-28,2023-08-02,2023-08-09,0.01107102557033993,0.01376832349274223,0.009459888356402768,0.008459888356402767,-0.01963515494507495,0.028095043301477718
EMR,2023-08-21,2023-08-22,2023-09-05,2023-09-06,2023-09-13,0.010730231236267387,-0.018734359641643154,-0.010033277154089304,-0.011033277154089305,0.0014297107760685712,-0.012462987930157876
EMR,2023-09-05,2023-09-07,2023-09-13,2023-09-18,2023-09-25,0.015529198195906277,0.017303844330456723,-0.01515896566341668,-0.01615896566341668,-0.025835619508964514,0.009676653845547833
EMR,2023-09-26,2023-10-09,2023-10-13,2023-10-16,2023-10-23,0.002824204719128386,0.011578098092182661,-0.06424481440095708,-0.06524481440095709,-0.029063289539809745,-0.03618152486114734
EMR,2023-10-25,2023-11-01,2023-11-07,2023-11-17,2023-11-27,0.008780791146756168,0.05211468404229691,-0.014338560811414713,-0.015338560811414714,0.006764347296966955,-0.02210290810838167
EMR,2023-11-27,2023-11-30,2023-12-06,2023-12-08,2023-12-15,0.010342296851115394,0.013498351051918257,0.06811842819986369,0.06711842819986369,0.038037942693660565,0.029080485506203124
EMR,2024-01-09,2024-01-19,2024-01-31,2024-02-07,2024-02-14,0.0030647314891316525,0.03350551330849728,0.020655183286408807,0.019655183286408806,-0.004075006698116446,0.023730189984525252
EMR,2024-06-04,2024-06-18,2024-06-26,2024-06-28,2024-07-08,0.016936545143976973,0.023555433331744813,-0.0017248316594350444,-0.0027248316594350444,0.001927427857345787,-0.004652259516780831
EMR,2025-01-07,2025-01-15,2025-01-29,2025-01-30,2025-02-06,0.0003314304530550904,-0.06734590973712824,-0.022692363964329942,-0.023692363964329943,-0.017408127085762226,-0.006284236878567717
EMR,2025-08-06,2025-08-13,2025-08-20,2025-08-28,2025-09-05,0.007989260597231153,0.02661957144748991,-0.01486422588684122,-0.01586422588684122,-0.008040390786169027,-0.007823835100672194
EMR,2025-12-16,2025-12-24,2025-12-31,2026-01-05,2026-01-12,0.01648150569154793,0.026265568762956278,0.01757072016910799,0.01657072016910799,0.02558313880911922,-0.009012418640011233
EMR,2026-03-18,2026-03-25,2026-03-26,2026-03-31,2026-04-08,0.007545478400090142,0.034770010567799554,0.0888414489631657,0.0878414489631657,0.02973846834050442,0.05810298062266128
UPS,2015-11-12,2015-11-27,2015-11-30,2015-12-01,2015-12-08,0.015399935007347045,0.011230742622170557,-0.030848480848271187,-0.03184848084827119,-0.020815641205888857,-0.01103283964238233
UPS,2016-04-05,2016-04-12,2016-04-21,2016-04-22,2016-04-29,0.012605658936171032,0.002280665930991337,-0.004264685398080226,-0.005264685398080226,-0.023995998690663045,0.01873131329258282
UPS,2016-09-09,2016-09-20,2016-09-29,2016-09-30,2016-10-07,0.006689545565465838,0.0012922630944545365,-0.005120796967089225,-0.006120796967089225,-0.01580774690102771,0.009686949933938482
UPS,2016-10-20,2016-10-24,2016-11-01,2016-11-07,2016-11-14,0.009776653335057329,0.014846073090293049,0.035534023265171966,0.034534023265171965,0.018681211812695553,0.015852811452476412
UPS,2017-02-01,2017-02-10,2017-02-22,2017-02-27,2017-03-06,0.018889118906954154,0.008474831458309304,-0.005902883972135564,-0.006902883972135564,-0.005544992781517211,-0.0013578911906183535
UPS,2017-03-21,2017-03-30,2017-04-07,2017-04-24,2017-05-01,0.0014084559879387149,0.015657388676606477,-0.0040197066374704216,-0.005019706637470422,0.010304799547835586,-0.015324506185306008
UPS,2017-04-07,2017-04-20,2017-05-01,2017-05-02,2017-05-09,0.005143363065741658,-0.009570754314143795,-0.003834733083746822,-0.004834733083746822,0.008414763969107897,-0.01324949705285472
UPS,2017-07-06,2017-07-13,2017-07-27,2017-08-02,2017-08-09,0.017575887516093975,0.03031609407468112,0.010336017561214161,0.00933601756121416,-0.0029906532067356384,0.012326670767949799
UPS,2017-09-19,2017-09-26,2017-10-05,2017-10-12,2017-10-19,0.016671064739886984,0.006054835706848783,-0.0012546241699027405,-0.0022546241699027405,0.006406385251627622,-0.008661009421530363
UPS,2017-10-05,2017-10-12,2017-10-17,2017-10-20,2017-10-27,0.011590700253287648,0.015806527720429696,0.008266560432384384,0.007266560432384384,0.0009846406702873622,0.006281919762097022
UPS,2018-09-24,2018-10-01,2018-10-10,2018-10-16,2018-10-23,0.0011082638523952188,0.006896116928501864,-0.027579059797073535,-0.028579059797073536,-0.02933831254838626,0.0007592527513127223
UPS,2018-12-17,2018-12-27,2019-01-03,2019-01-09,2019-01-16,0.009394029254358553,0.0340561916362858,-0.009497275639993918,-0.01049727563999392,-0.004707749702210773,-0.0057895259377831465
UPS,2019-02-22,2019-02-25,2019-03-06,2019-03-14,2019-03-21,0.01334550438458694,0.018131232978334404,-0.00973989040650669,-0.010739890406506691,0.023734878222237743,-0.034474768628744434
UPS,2019-03-06,2019-03-13,2019-03-20,2019-03-29,2019-04-05,0.018466045145047707,0.026520163686086194,0.023178556707796005,0.022178556707796004,0.018581216844273607,0.0035973398635223974
UPS,2019-08-01,2019-08-08,2019-08-14,2019-08-19,2019-08-26,0.004872376060967891,0.029859484777517563,-0.02080658324039142,-0.02180658324039142,-0.008097793339223447,-0.013708789901167973
UPS,2019-08-14,2019-08-16,2019-08-23,2019-08-28,2019-09-05,0.01964284470374884,0.03486539231385108,0.04186371718256465,0.04086371718256465,0.034349930140487483,0.006513787042077168
UPS,2019-10-01,2019-10-15,2019-10-22,2019-10-29,2019-11-05,0.005785618703365275,0.003262860797867477,0.0383198464171588,0.0373198464171588,0.01977058645489249,0.017549259962266306
