stock,L_date,L2_date,entry_date,exit_date,fall,retest_pct,ret,ret_net,bench_ret,excess_ret
UPS,2024-04-17,2024-04-19,2024-04-22,2024-04-29,0.06580406321171763,0.003655513035598198,0.021945475750257293,0.020945475750257292,0.013946295186739954,0.006999180563517338
UPS,2025-02-03,2025-02-05,2025-02-06,2025-02-13,0.1832524749558413,0.005481171763258751,0.019124030407924986,0.018124030407924985,0.012216751517591717,0.005907278890333267
UPS,2025-09-10,2025-09-12,2025-09-15,2025-09-22,0.04564084464291531,0.005963071948312092,0.002499544701594303,0.0014995447015943028,0.012038915292718277,-0.010539370591123975
MRK,2015-12-18,2015-12-22,2015-12-23,2015-12-31,0.04405765513795745,0.00890753969065452,-0.003020247935184739,-0.004020247935184739,-0.009041203296444644,0.005020955361259905
MRK,2016-01-13,2016-01-15,2016-01-19,2016-01-26,0.050244026816014545,0.009475470065290868,0.0021426283333367824,0.0011426283333367824,0.003703786062972503,-0.0025611577296357204
MRK,2016-02-04,2016-02-08,2016-02-09,2016-02-17,0.055588149350035566,0.004939454705155744,0.029291956537812913,0.028291956537812912,0.04603217713156793,-0.01774022059375502
MRK,2016-10-17,2016-10-19,2016-10-20,2016-10-27,0.03724553161617798,0.005688923834879137,-0.010174158169217518,-0.011174158169217518,0.00317509853533271,-0.014349256704550228
MRK,2016-11-23,2016-11-28,2016-11-29,2016-12-06,0.05110802112972663,0.0025955147034424876,-0.0307121341762151,-0.0317121341762151,-0.003180867597925352,-0.02853126657828975
MRK,2016-12-21,2016-12-23,2016-12-27,2017-01-04,0.048206339893830386,0.0021874885907875257,0.005686578998198577,0.004686578998198577,-0.0007654266450338731,0.00545200564323245
MRK,2017-07-11,2017-07-13,2017-07-14,2017-07-21,0.054308329603596,0.008822504208154136,-0.006819165594050047,-0.007819165594050048,0.0009039689422194463,-0.008723134536269495
MRK,2017-08-10,2017-08-14,2017-08-15,2017-08-22,0.030104656789265914,0.007880269065873212,-0.0012801640457462682,-0.002280164045746268,-0.0003277505850750595,-0.0019524134606712087
MRK,2017-09-29,2017-10-03,2017-10-04,2017-10-11,0.03219446844181467,0.0053096203422340425,-0.012693545414362073,-0.013693545414362074,0.0032298592570778606,-0.016923404671439934
MRK,2017-11-20,2017-11-22,2017-11-24,2017-12-01,0.04383151029486844,0.004990488302827898,0.02796726333250721,0.026967263332507208,0.01734140450210586,0.009625858830401346
MRK,2018-02-21,2018-02-23,2018-02-26,2018-03-05,0.030911390736958158,0.005866166706121108,-0.02961092039495017,-0.03061092039495017,-0.01563038667182881,-0.014980533723121359
MRK,2018-03-23,2018-03-27,2018-03-28,2018-04-05,0.0405963154470017,0.006366057878506873,-0.010164961241825754,-0.011164961241825755,0.020043092796200312,-0.031208054038026067
MRK,2018-05-02,2018-05-04,2018-05-07,2018-05-14,0.04896263441685075,0.007853664572000632,0.04008349291196511,0.03908349291196511,0.03948430008810977,-0.00040080717614465744
MRK,2019-01-28,2019-01-30,2019-01-31,2019-02-07,0.03888222764563516,0.006170994539308264,0.03211123878716493,0.03111123878716493,0.009985897839061453,0.021125340948103477
MRK,2020-01-24,2020-01-28,2020-01-29,2020-02-05,0.060738873124589136,0.0031405496690733157,-0.016162001898311296,-0.017162001898311297,0.012061044294479295,-0.02922304619279059
