variant,stock,entry_date,exit_date,exit_reason,ret,ret_net,touch_gap,provisional_sessions,bench_ret,excess_ret
gap60,PEP,2021-06-25,2021-07-02,hold_days,0.01707540629983395,0.01607540629983395,18,2,0.02625857589709457,-0.010183169597260622
gap60+conf2,PEP,2021-06-25,2021-07-02,hold_days,0.01707540629983395,0.01607540629983395,18,2,0.02625857589709457,-0.010183169597260622
base,PEP,2022-04-22,2022-04-29,hold_days,-0.0025558082070995525,-0.0035558082070995525,83,4,-0.008437786932743552,0.004881978725643999
conf2,PEP,2022-04-22,2022-04-29,hold_days,-0.0025558082070995525,-0.0035558082070995525,83,4,-0.008437786932743552,0.004881978725643999
base,PEP,2022-06-15,2022-06-23,hold_days,0.03998993403179929,0.03898993403179929,135,1,0.018422796009486264,0.020567138022313025
conf2,PEP,2022-06-16,2022-06-24,hold_days,0.05795081297125626,0.05695081297125626,135,2,0.07322993024137237,-0.016279117270116106
base,PEP,2022-08-10,2022-08-17,hold_days,0.024326438690096097,0.023326438690096096,57,2,0.019455769363031505,0.003870669327064591
gap60,PEP,2022-08-10,2022-08-17,hold_days,0.024326438690096097,0.023326438690096096,57,2,0.019455769363031505,0.003870669327064591
conf2,PEP,2022-08-10,2022-08-17,hold_days,0.024326438690096097,0.023326438690096096,57,2,0.019455769363031505,0.003870669327064591
gap60+conf2,PEP,2022-08-10,2022-08-17,hold_days,0.024326438690096097,0.023326438690096096,57,2,0.019455769363031505,0.003870669327064591
base,PEP,2022-11-07,2022-11-14,hold_days,-0.0193108157123828,-0.0203108157123828,54,2,0.0376089274882887,-0.0579197432006715
gap60,PEP,2022-11-07,2022-11-14,hold_days,-0.0193108157123828,-0.0203108157123828,54,2,0.0376089274882887,-0.0579197432006715
conf2,PEP,2022-11-07,2022-11-14,hold_days,-0.0193108157123828,-0.0203108157123828,54,2,0.0376089274882887,-0.0579197432006715
gap60+conf2,PEP,2022-11-07,2022-11-14,hold_days,-0.0193108157123828,-0.0203108157123828,54,2,0.0376089274882887,-0.0579197432006715
base,PEP,2023-01-09,2023-01-17,hold_days,-0.018234581078388934,-0.019234581078388935,96,2,0.01781814399578785,-0.037052725074176784
