stock,entry_date,exit_date,branch,z,spy_z,ret,ret_net,bench_ret,excess_ret
KO,2019-02-26,2019-03-05,idiosyncratic,-2.3637427936841657,-0.07164499682534793,0.020362595726711508,0.019362595726711507,-0.006458031396870623,0.02582062712358213
KO,2019-03-08,2019-03-15,market_wide,-2.628233662716716,-3.944809605011012,0.01907812406728504,0.01807812406728504,0.030982871551399782,-0.012904747484114742
KO,2019-05-07,2019-05-14,market_wide,-2.9982745034310057,-6.097219321130673,0.014374732122251155,0.013374732122251154,-0.013816298420802342,0.027191030543053496
KO,2019-05-29,2019-06-05,market_wide,-2.8692985841730723,-4.1580437680841555,0.0446409620323982,0.0436409620323982,0.030989642489835267,0.012651319542562933
KO,2019-06-27,2019-07-05,market_wide,-2.05634908010454,-1.179306610930179,0.020164266065926695,0.019164266065926694,0.018243096968983075,0.0009211690969436193
KO,2019-07-19,2019-07-26,market_wide,-4.357352054639347,-2.6657459288321643,0.054095957446612,0.053095957446612,0.025023603460895494,0.028072353985716503
KO,2019-08-05,2019-08-12,market_wide,-2.5704709898583062,-5.8328440023163655,0.030009792131446833,0.029009792131446832,0.011524423977346654,0.017485368154100178
KO,2019-09-09,2019-09-16,idiosyncratic,-2.3125732924321816,0.03384651278124535,-0.0030351679562280465,-0.0040351679562280465,0.0012346844927264566,-0.005269852448954503
KO,2019-09-17,2019-09-24,idiosyncratic,-2.479264623727402,-0.11182175256897908,0.0011062918929582999,0.00010629189295829986,-0.01326276475762267,0.013369056650580968
KO,2019-09-25,2019-10-02,market_wide,-2.2632600893752284,-1.8725264326023985,-0.02012173895503977,-0.02112173895503977,-0.0387329080741462,0.01761116911910643
KO,2019-10-08,2019-10-15,market_wide,-2.322137724464515,-2.9656659441345887,-0.001306528175617605,-0.002306528175617605,0.048696905202218144,-0.05100343337783575
KO,2019-10-16,2019-10-23,idiosyncratic,-2.568939260231437,-0.13731259979902638,0.02149924715655338,0.02049924715655338,-0.0004020782267258882,0.020901325383279268
KO,2019-10-28,2019-11-04,idiosyncratic,-2.2678620794220907,1.112070775206639,-0.008026399898932612,-0.009026399898932613,0.020030149520999574,-0.029056549419932187
KO,2019-11-05,2019-11-12,idiosyncratic,-4.410698365899512,-0.1267699579950757,-0.013544336061684703,-0.014544336061684704,0.01090786033656821,-0.025452196398252913
KO,2019-11-13,2019-11-20,idiosyncratic,-2.1294966434055373,0.05187119422348295,0.015454758180234007,0.014454758180234006,0.0037322805422090877,0.010722477638024919
KO,2019-12-18,2019-12-26,idiosyncratic,-2.2344006406685457,0.006911241783066478,0.02058975812863495,0.01958975812863495,0.014131652872212852,0.005458105256422097
KO,2020-01-07,2020-01-14,market_wide,-4.204559064916003,-1.625873108787713,0.03225793665155252,0.03125793665155252,0.013310552482738158,0.017947384168814362
KO,2020-02-24,2020-03-02,market_wide,-5.566279518356427,-7.995229010332425,-0.046547511863300084,-0.047547511863300085,-0.03722018447532904,-0.010327327387971041
KO,2020-03-06,2020-03-13,market_wide,-2.4365630687237494,-3.0930921354392664,-0.11518115866629375,-0.11618115866629375,-0.07860730818650308,-0.03757385047979067
KO,2020-03-16,2020-03-23,market_wide,-3.619029029433989,-3.541031846682608,-0.17012806531670055,-0.17112806531670055,-0.04159597300248086,-0.1295320923142197
KO,2020-03-24,2020-03-31,market_wide,-2.6593986648165244,-2.134131667252777,0.12167341649897323,0.12067341649897323,0.04036541940958349,0.08030799708938974
KO,2020-04-21,2020-04-28,market_wide,-3.8917341079838024,-1.8933436803339232,0.029969133158148642,0.02896913315814864,0.05102889022652546,-0.022059757068376817
KO,2020-05-01,2020-05-08,market_wide,-2.6248048945201528,-1.7443197913224189,0.011184345980592703,0.010184345980592702,0.036260303992809995,-0.026075958012217293
KO,2020-05-12,2020-05-19,market_wide,-2.8521333092662484,-1.6436784632828823,-0.006247502420681061,-0.0072475024206810615,0.01296523766861446,-0.020212740089295522
