variant,stock,entry_date,exit_date,exit_reason,ret,ret_net,ret_hold5,age_days,bench_ret,excess_ret,excess_hold5
trough9_any,PFE,2022-01-14,2022-01-24,hold_days,-0.062056331885716576,-0.06305633188571658,-0.06305633188571658,8,-0.05976152690998504,-0.0032948049757315356,-0.0032948049757315356
trough9,PFE,2022-05-05,2022-05-12,hold_days,0.048522651247758564,0.04752265124775856,0.04752265124775856,3,-0.0437629739844253,0.09128562523218386,0.09128562523218386
trough9_any,PFE,2022-05-05,2022-05-12,hold_days,0.048522651247758564,0.04752265124775856,0.04752265124775856,3,-0.0437629739844253,0.09128562523218386,0.09128562523218386
base,PFE,2022-07-20,2022-07-27,hold_days,0.02223560479749409,0.02123560479749409,0.02123560479749409,2,0.012147189880402864,0.009088414917091225,0.009088414917091225
trough9_any,PFE,2022-07-28,2022-08-04,hold_days,-0.016956118125763142,-0.017956118125763143,-0.017956118125763143,8,0.029425635608662182,-0.047381753734425325,-0.047381753734425325
trough9,PFE,2022-08-22,2022-08-29,hold_days,-0.054601218600832446,-0.05560121860083245,-0.05560121860083245,4,-0.031791635828584575,-0.023809582772247873,-0.023809582772247873
trough9_any,PFE,2022-08-22,2022-08-29,hold_days,-0.054601218600832446,-0.05560121860083245,-0.05560121860083245,4,-0.031791635828584575,-0.023809582772247873,-0.023809582772247873
trough9_any,PFE,2022-09-19,2022-09-26,hold_days,-0.03543118689249125,-0.03643118689249125,-0.03643118689249125,202,-0.06505031820378804,0.028619131311296786,0.028619131311296786
base,PFE,2022-09-22,2022-09-29,hold_days,-0.00919912537579648,-0.01019912537579648,-0.01019912537579648,1,-0.03274735778343274,0.02254823240763626,0.02254823240763626
trough9,PFE,2022-09-29,2022-10-06,hold_days,-0.024230140506107944,-0.025230140506107945,-0.025230140506107945,3,0.020506758902605338,-0.04573689940871328,-0.04573689940871328
trough9_any,PFE,2022-09-29,2022-10-06,hold_days,-0.024230140506107944,-0.025230140506107945,-0.025230140506107945,3,0.020506758902605338,-0.04573689940871328,-0.04573689940871328
trough9,PFE,2023-02-10,2023-02-17,hold_days,-0.015269093047446725,-0.016269093047446725,-0.016269093047446725,1,0.005825934729881244,-0.02209502777732797,-0.02209502777732797
trough9_any,PFE,2023-02-10,2023-02-17,hold_days,-0.015269093047446725,-0.016269093047446725,-0.016269093047446725,1,0.005825934729881244,-0.02209502777732797,-0.02209502777732797
base,PFE,2023-05-08,2023-05-15,hold_days,-0.02865005036053303,-0.02965005036053303,-0.02965005036053303,4,0.00414905994800141,-0.03379911030853444,-0.03379911030853444
trough9_any,PFE,2023-05-18,2023-05-25,hold_days,0.037006665050516085,0.036006665050516085,0.036006665050516085,692,0.0177820605831438,0.018224604467372285,0.018224604467372285
trough9_any,PFE,2023-06-27,2023-07-05,hold_days,0.0010982539425652416,9.825394256524154e-05,9.825394256524154e-05,732,0.015578642898939954,-0.015480388956374713,-0.015480388956374713
base,PFE,2023-09-01,2023-09-11,hold_days,-0.05142532414741896,-0.05242532414741896,-0.05242532414741896,1,-0.018274084952873193,-0.03415123919454577,-0.03415123919454577
base,PFE,2023-10-30,2023-11-06,hold_days,0.020622053771925275,0.019622053771925274,0.019622053771925274,3,0.048755268109492045,-0.02913321433756677,-0.02913321433756677
base,PFE,2023-12-05,2023-12-12,hold_days,-0.0175317767769394,-0.0185317767769394,-0.0185317767769394,4,0.01289019216859999,-0.03142196894553939,-0.03142196894553939
trough9,PFE,2024-04-29,2024-05-06,hold_days,0.09828409703896446,0.09728409703896446,0.09728409703896446,4,0.018184069387202628,0.07910002765176183,0.07910002765176183
trough9_any,PFE,2024-04-29,2024-05-06,hold_days,0.09828409703896446,0.09728409703896446,0.09728409703896446,4,0.018184069387202628,0.07910002765176183,0.07910002765176183
trough9_any,PFE,2024-11-06,2024-11-13,hold_days,-0.008222636877088907,-0.009222636877088908,-0.009222636877088908,120,0.003645568469964555,-0.012868205347053463,-0.012868205347053463
base,PFE,2025-01-17,2025-01-27,hold_days,0.03817690710948396,0.03717690710948396,0.03717690710948396,2,0.01101679973883396,0.02616010737065,0.02616010737065
trough9_any,PFE,2025-06-03,2025-06-10,hold_days,0.04068514258153466,0.03968514258153466,0.03968514258153466,6,0.011461643663865262,0.0282234989176694,0.0282234989176694
trough9_any,PFE,2025-09-09,2025-09-16,hold_days,-0.03278018087702039,-0.033780180877020394,-0.033780180877020394,5,0.004982124140889388,-0.03876230501790978,-0.03876230501790978
trough9_any,PFE,2025-11-04,2025-11-11,hold_days,0.06827959012389151,0.06727959012389151,0.06727959012389151,6,0.009897487305317032,0.057382102818574476,0.057382102818574476
trough9_any,PFE,2025-12-16,2025-12-23,hold_days,-0.02546025479189251,-0.026460254791892512,-0.026460254791892512,7,0.0005782822772855134,-0.027038537069178026,-0.027038537069178026
trough9_any,PFE,2026-03-09,2026-03-16,hold_days,-0.007459881640851651,-0.008459881640851652,-0.008459881640851652,6,-0.002667515916755292,-0.00579236572409636,-0.00579236572409636
trough9_any,PFE,2026-03-23,2026-03-30,hold_days,0.037355211579875425,0.036355211579875424,0.036355211579875424,20,-0.013663434722535062,0.050018646302410485,0.050018646302410485
trough9,PFE,2026-04-09,2026-04-16,hold_days,0.0,-0.001,-0.001,2,0.008609660842795908,-0.009609660842795908,-0.009609660842795908
trough9_any,PFE,2026-04-09,2026-04-16,hold_days,0.0,-0.001,-0.001,2,0.008609660842795908,-0.009609660842795908,-0.009609660842795908
trough9_any,PFE,2026-04-22,2026-04-29,hold_days,-0.020149290096925343,-0.021149290096925344,-0.021149290096925344,50,-0.007169781942673592,-0.013979508154251752,-0.013979508154251752
trough9_any,PFE,2026-05-08,2026-05-15,hold_days,-0.013629295496028204,-0.014629295496028205,-0.014629295496028205,94,0.03572269242514148,-0.05035198792116968,-0.05035198792116968
trough9,PFE,2026-07-07,2026-07-14,hold_days,0.007478245963904007,0.006478245963904007,0.006478245963904007,1,0.015037329763095908,-0.008559083799191902,-0.008559083799191902
trough9_any,PFE,2026-07-07,2026-07-14,hold_days,0.007478245963904007,0.006478245963904007,0.006478245963904007,1,0.015037329763095908,-0.008559083799191902,-0.008559083799191902
