stock,entry_date,exit_date,ret,ret_net,exit_reason,bench_ret,excess_ret
AMAT,2020-01-29,2020-01-31,-0.030591764524687814,-0.031591764524687815,market_dd,-0.013302300199256267,-0.018289464325431548
AMAT,2024-12-12,2024-12-18,-0.021469265680001737,-0.022469265680001738,market_dd,-0.030878298674662186,0.008409032994660448
ADM,2018-05-07,2018-05-14,0.01670873058814437,0.01570873058814437,hold_days,0.02477289697864138,-0.009064166390497008
ADM,2021-06-22,2021-06-29,-0.01687217680215336,-0.01787217680215336,hold_days,0.011007980929102379,-0.02888015773125574
ADM,2026-06-23,2026-06-30,0.007384027649051994,0.006384027649051994,hold_days,0.011268580151507779,-0.004884552502455785
T,2018-07-17,2018-07-24,-0.0025188157744726603,-0.0035188157744726603,hold_days,0.0040427396337008314,-0.007561555408173492
T,2018-12-13,2018-12-14,0.010364923670304504,0.009364923670304504,market_dd,-0.019032866209265586,0.02839778987957009
T,2020-09-25,2020-10-02,0.022824974390922792,0.02182497439092279,hold_days,0.01898201406526101,0.002842960325661781
T,2021-11-08,2021-11-10,0.0028135434312213103,0.0018135434312213103,market_dd,-0.006063518094439169,0.007877061525660478
T,2022-03-10,2022-03-11,0.0,-0.001,market_dd,-0.011074825994999538,0.010074825994999537
T,2022-08-10,2022-08-17,0.02276502491578336,0.02176502491578336,hold_days,0.018198714265386107,0.003566310650397253
T,2023-10-06,2023-10-13,-0.006228637561963235,-0.007228637561963235,hold_days,0.0056702866696025644,-0.0128989242315658
T,2024-01-16,2024-01-23,0.04562060233542242,0.04462060233542242,hold_days,0.011944372621139232,0.03267622971428319
T,2024-02-26,2024-03-04,0.012047979056010405,0.011047979056010404,hold_days,0.012528027087777671,-0.001480048031767267
T,2024-10-14,2024-10-21,0.018814743687972868,0.017814743687972867,hold_days,-0.003766157719570118,0.021580901407542985
T,2025-07-15,2025-07-22,0.014803745590827866,0.013803745590827865,hold_days,0.013851746809651067,-4.800121882320152e-05
