stock,hold_days,near_pct,entry_date,exit_date,entry_price,exit_price,exit_reason,ret,ret_net,support_age_days,support_birth_date,bench_ret,excess_ret,market_dist_from_low_20d,market_dist_from_low_60d,market_dist_from_low_120d,market_vol_5d,market_vol_10d,market_vol_20d,market_vol_ratio_5_60
LMT,5,0.01,2019-12-19,2019-12-23,319.8128356933594,327.116455078125,resistance,0.022837167773242406,0.021837167773242405,1,2019-12-18,0.00761299287615369,0.014224174897088715,0.04106666385554343,0.12157842542134276,0.15023023738124042,0.003451425856888388,0.005049256044072123,0.0054504654995255865,0.5268588255573295
LMT,5,0.01,2021-01-11,2021-01-19,289.09765625,292.3680725097656,hold_days,0.011312496622032375,0.010312496622032374,3,2021-01-08,0.003756949564864387,0.0065555470571679875,0.042701614412046354,0.219068287037148,0.219068287037148,0.005307330475941344,0.008098435714123192,0.007120733196146749,0.48129431529847416
LMT,5,0.01,2021-03-24,2021-03-31,307.222412109375,318.7652893066406,hold_days,0.03757172895692329,0.03657172895692329,1,2021-03-23,0.022900143482192936,0.013671585474730352,0.04645662612282287,0.1137977479819757,0.3110775772796739,0.006411937315600767,0.006358433717397931,0.010383711939759151,0.7060294970134923
LMT,5,0.01,2021-12-21,2021-12-29,300.5736999511719,312.4812927246094,hold_days,0.03961621650654035,0.038616216506540346,1,2021-12-20,0.027695513898846835,0.010920702607693511,0.0369142126810335,0.06274643297380562,0.0791616124760473,0.010573107643136409,0.0076197262792377365,0.011042467414900645,1.297825768132222
LMT,5,0.01,2022-01-07,2022-01-14,317.6589050292969,328.666748046875,hold_days,0.03465302827434624,0.03365302827434624,1,2022-01-06,0.0007032309350041288,0.03294979733934211,0.05099458109193683,0.0822873342787775,0.10050669834309192,0.008977585187509893,0.0067019635540722195,0.008027148214892126,1.152019685352162
LMT,5,0.01,2022-07-19,2022-07-26,348.8706359863281,354.61688232421875,hold_days,0.01647099453252876,0.015470994532528759,1,2022-07-18,0.0007977504444802719,0.014673244088048487,0.04873800432595598,0.04873800432595598,0.04873800432595598,0.01383125083441844,0.011134037265279954,0.012653150498495136,0.84985487265603
LMT,5,0.01,2022-08-24,2022-08-31,387.5932922363281,377.9286193847656,hold_days,-0.024935088003715133,-0.025935088003715134,2,2022-08-22,-0.040298756983903616,0.014363668980188482,0.03997694601819685,0.11287723707923861,0.11287723707923861,0.010621651609065131,0.010001581530857133,0.009793464602128661,0.8129963337299798
LMT,5,0.01,2023-01-20,2023-01-27,401.2589111328125,416.03179931640625,hold_days,0.036816349179355834,0.03581634917935583,1,2023-01-19,0.016461374765903036,0.019354974413452797,0.03818160751901069,0.07586738430155092,0.18289061951048874,0.009715238529746461,0.011757868927354413,0.010718892538117008,0.7799154500099239
LMT,5,0.01,2023-08-02,2023-08-09,411.3495178222656,415.2469482421875,hold_days,0.009474741676021248,0.008474741676021247,2,2023-07-31,-0.00034693684546915904,0.008821678521490406,0.04254886208866911,0.09062919315237279,0.12166757163493135,0.004819138416468577,0.0037916899153763433,0.005398654203734875,0.7612947882995185
LMT,5,0.01,2023-10-27,2023-11-03,409.3226623535156,418.5082092285156,hold_days,0.022440846109485157,0.021440846109485157,3,2023-10-24,0.05629477674875161,-0.03485393063926645,-0.01224500289371832,-0.01224500289371832,-0.000353136712746851,0.006468633515046363,0.007247418263124524,0.007094208590652277,0.9797598165978023
LMT,5,0.01,2024-04-10,2024-04-17,423.0575866699219,427.1223449707031,hold_days,0.009608049657676254,0.008608049657676253,1,2024-04-09,-0.022301065225141525,0.03090911488281778,0.012059060519607622,0.06958964803704093,0.22567837882000552,0.008545990273364733,0.007644828467484139,0.006294901785424722,1.3937239229286005
LMT,5,0.01,2025-11-13,2025-11-20,444.3677978515625,456.4652099609375,hold_days,0.027223872134443106,0.026223872134443105,3,2025-11-10,-0.02237286306171249,0.048596735196155594,0.03764535270591759,0.06519837716913585,0.15926415100777294,0.004718761971656954,0.0057285495304213304,0.005315263025226351,0.826007587991855
LMT,5,0.01,2025-12-19,2025-12-29,465.6964111328125,480.1741638183594,hold_days,0.031088392221725547,0.030088392221725546,1,2025-12-18,0.01143882773347027,0.018649564488255277,0.044798134346256506,0.07336976715808619,0.11936260880326566,0.005277038910489322,0.006371562910416139,0.006774968571971608,0.8267162886011461
LMT,5,0.01,2026-05-11,2026-05-18,505.7899475097656,521.6473999023438,hold_days,0.03135185361166548,0.03035185361166548,3,2026-05-08,0.01429954888203655,0.01605230472962893,0.008889853829629318,0.04473248972390592,0.10260395135807539,0.005601656562263238,0.007861304276629469,0.006102878322951481,0.7751892953135191
LMT,5,0.01,2026-08-06,2026-08-13,579.26708984375,594.3339233398438,hold_days,0.026010166571275084,0.025010166571275083,1,2026-08-05,0.008152736339654076,0.016857430231621007,0.048888886453324704,0.09127702552473417,0.14009256385495397,0.005060437284721009,0.0074271922697718325,0.007130497095495703,0.8019636699325389
MCD,5,0.01,2016-02-08,2016-02-16,89.22239685058594,91.6288070678711,hold_days,0.02697092100445353,0.02597092100445353,3,2016-02-05,0.017756935141112873,0.008213985863340656,-0.0008108087999964054,-0.0008108087999964054,0.02400711437229265,0.01485066707419742,0.015571605929981124,0.015182787107557166,1.1889083196683912
MCD,5,0.01,2016-09-15,2016-09-22,91.33370208740234,92.2931137084961,hold_days,0.01050446438901198,0.00950446438901198,2,2016-09-13,0.016273055249512725,-0.006768590860500745,0.009307511182820334,0.10153765238173236,0.10153765238173236,0.01601061034775927,0.010545353696288746,0.0074061987604449216,1.812502463859505
MCD,5,0.01,2016-10-06,2016-10-13,89.58785247802734,90.75959014892578,hold_days,0.01307920257588302,0.012079202575883019,1,2016-10-05,-0.014463254463152442,0.02654245703903546,0.024608584227131334,0.024608584227131334,0.11823693173258104,0.007034856137979503,0.007539716978139523,0.009652961036725794,1.1468743508077128
MCD,5,0.01,2016-12-05,2016-12-09,94.54036712646484,96.10165405273438,resistance,0.016514500352860173,0.015514500352860172,3,2016-12-02,0.0286781182429805,-0.013163617890120327,0.0672854140552701,0.0672854140552701,0.16281735327348099,0.0006983867218198573,0.0037592839164093898,0.006491378138111226,0.1081403081846267
MCD,5,0.01,2017-01-05,2017-01-12,94.86531829833984,96.76739501953125,hold_days,0.020050285555460956,0.019050285555460955,1,2017-01-04,0.0031473847469558613,0.015902900808505094,0.03498460090127276,0.1080610265520486,0.1080610265520486,0.005547482097063317,0.004762258591358162,0.00538962370059832,0.992607260880391
MCD,5,0.01,2017-03-14,2017-03-21,102.03028106689453,102.60508728027344,hold_days,0.005633682543734642,0.004633682543734642,1,2017-03-13,-0.006775032673504322,0.011408715217238963,0.024838309645522198,0.07716034220835746,0.17776308004712096,0.0026733007133220112,0.005834903969748397,0.004288782379784885,0.651152503923816
MCD,5,0.01,2017-11-13,2017-11-20,135.2566375732422,134.90110778808594,hold_days,-0.0026285570271087355,-0.0036285570271087355,3,2017-11-10,0.002399086731012634,-0.0060276437581213696,0.025204128495045722,0.10599049810340615,0.12519262023594727,0.0033303945239029783,0.0026552623797881955,0.003842342545817338,0.9465493125336194
