stock,hold_days,near_pct,entry_date,exit_date,entry_price,exit_price,exit_reason,ret,ret_net,support_age_days,support_birth_date,bench_ret,excess_ret,birth_volume_ratio
ABT,5,0.01,2017-03-08,2017-03-15,38.05944061279297,38.025882720947266,hold_days,-0.0008817232020594812,-0.0018817232020594812,1,2017-03-07,0.008418926336414279,-0.01030064953847376,0.7261590142814375
ABT,5,0.01,2017-05-19,2017-05-26,36.43502426147461,37.743526458740234,hold_days,0.03591330659958425,0.03491330659958425,1,2017-05-18,0.01721284720090477,0.01770045939867948,0.8829075744416245
ABT,5,0.01,2017-07-07,2017-07-14,40.89232635498047,41.517581939697266,resistance,0.015290291368826647,0.014290291368826646,1,2017-07-06,0.011677982817776877,0.002612308551049769,0.9027546501752032
ABT,5,0.01,2017-08-11,2017-08-18,41.20351791381836,41.373291015625,hold_days,0.004120354532876069,0.0031203545328760693,1,2017-08-10,-0.008828193901550763,0.011948548434426831,0.9871581591946901
ABT,5,0.01,2017-11-02,2017-11-09,46.37811279296875,47.29935836791992,hold_days,0.019863800389282815,0.018863800389282814,1,2017-11-01,0.003437688417107232,0.015426111972175582,1.2239573323082837
ABT,5,0.01,2018-06-28,2018-07-06,52.76658630371094,53.533077239990234,hold_days,0.014526066398678372,0.013526066398678371,1,2018-06-27,0.014325168535327393,-0.0007991021366490214,1.2141216416836529
ABT,5,0.01,2018-08-14,2018-08-21,55.04537582397461,56.01427459716797,hold_days,0.017601819565947308,0.016601819565947307,1,2018-08-13,0.011654485015353933,0.004947334550593374,1.0785453317443343
ABT,5,0.01,2018-09-07,2018-09-14,57.27729797363281,59.18912887573242,hold_days,0.03337851067939179,0.03237851067939179,1,2018-09-06,0.014068806652733246,0.018309704026658546,1.547548088795034
ABT,5,0.01,2018-10-26,2018-11-02,58.19032669067383,60.96998977661133,hold_days,0.0477684736281605,0.0467684736281605,2,2018-10-24,0.02479263340891502,0.02197584021924548,0.8936779965953029
ABT,5,0.01,2018-11-26,2018-12-03,59.771263122558594,64.51404571533203,hold_days,0.07934887678462732,0.07834887678462732,3,2018-11-23,0.05396119009219569,0.02438768669243163,0.5010013269117358
ABT,5,0.01,2019-05-31,2019-06-07,66.708251953125,70.74773406982422,hold_days,0.06055445913254798,0.05955445913254798,2,2019-05-29,0.04438329785276385,0.015171161279784129,0.8336380028084986
ABT,5,0.01,2019-11-25,2019-12-03,74.60881042480469,74.4939956665039,hold_days,-0.0015388900807700168,-0.002538890080770017,4,2019-11-21,-0.015293185235798257,0.012754295155028239,1.1426278642984153
ABT,5,0.01,2020-01-14,2020-01-22,76.0341796875,81.46139526367188,hold_days,0.07137862995928534,0.07037862995928534,1,2020-01-13,0.007994641596930085,0.06238398836235526,1.2651602369776942
ABT,5,0.01,2020-02-07,2020-02-14,77.92306518554688,79.51045989990234,hold_days,0.020371307398850957,0.019371307398850957,4,2020-02-03,0.012079573874357319,0.007291733524493638,0.7877389084966769
ABT,5,0.01,2020-08-14,2020-08-21,89.39017486572266,91.54468536376953,hold_days,0.024102318865392824,0.023102318865392824,3,2020-08-11,-0.004896730278510231,0.027999049143903054,1.2924300525493537
ABT,5,0.01,2020-10-19,2020-10-26,96.90872955322266,97.76982116699219,hold_days,0.008885593875179287,0.007885593875179286,4,2020-10-15,-0.009937781997693684,0.01782337587287297,0.7821130946426864
ABT,5,0.01,2021-07-01,2021-07-06,105.8998794555664,107.40033721923828,resistance,0.014168644680105036,0.013168644680105035,1,2021-06-30,-0.002369934043973454,0.015538578724078489,0.7935005885475569
ABT,5,0.01,2021-07-16,2021-07-23,106.62061309814453,109.6057357788086,hold_days,0.027997613162440205,0.026997613162440204,1,2021-07-15,0.017076177545968907,0.009921435616471297,1.2750136105910317
ABT,5,0.01,2021-11-24,2021-12-02,113.9181900024414,116.93306732177734,hold_days,0.026465284598283345,0.025465284598283344,1,2021-11-23,-0.02836770226097096,0.053832986859254306,0.9553951588241291
ABT,5,0.01,2022-04-01,2022-04-08,108.38783264160156,112.65644836425781,hold_days,0.03938279434713832,0.038382794347138316,1,2022-03-31,-0.003031529598803706,0.04141432394594202,1.1309128531370414
ABT,5,0.01,2023-04-27,2023-05-04,102.37834167480469,103.64989471435547,hold_days,0.01242013709881884,0.011420137098818839,1,2023-04-26,-0.026073612448139993,0.03749374954695883,0.6745158678267067
ABT,5,0.01,2023-09-08,2023-09-15,94.63042449951172,95.57923889160156,hold_days,0.010026525793453978,0.009026525793453977,1,2023-09-07,0.005671756875409217,0.0033547689180447593,0.9637568355087215
ABT,5,0.01,2023-09-29,2023-10-06,90.98536682128906,91.01353454589844,hold_days,0.00030958521785917625,-0.0006904147821408238,2,2023-09-27,-0.007860196487008864,0.00716978170486804,1.2348450316441923
ABT,5,0.01,2023-10-13,2023-10-20,85.84003448486328,91.42288970947266,hold_days,0.06503789587356046,0.06403789587356046,1,2023-10-12,-0.011258659810885252,0.07529655568444571,1.404247149019004
ABT,5,0.01,2024-10-04,2024-10-11,108.01933288574219,111.35657501220703,hold_days,0.030894859626607873,0.029894859626607873,1,2024-10-03,0.0058492475438829405,0.024045612082724932,0.6732751215331305
ABT,5,0.01,2025-04-29,2025-05-06,126.98181915283203,129.47279357910156,hold_days,0.019616780125597755,0.018616780125597754,4,2025-04-25,0.0037548931757549475,0.014861886949842806,0.5685532850891798
ABT,5,0.01,2025-10-06,2025-10-13,130.71859741210938,128.41192626953125,hold_days,-0.01764608241095189,-0.018646082410951892,4,2025-10-02,-0.01737738337178163,-0.0012686990391702624,0.9392407273650875
ABT,5,0.01,2025-10-17,2025-10-24,126.19474792480469,124.53558349609375,hold_days,-0.013147650405384348,-0.014147650405384349,1,2025-10-16,0.02115636115736974,-0.03530401156275409,1.4924568142301429
ABT,5,0.01,2026-03-10,2026-03-17,109.082763671875,109.24063873291016,hold_days,0.0014472961237950166,0.0004472961237950166,4,2026-03-06,-0.004790797502688182,0.005238093626483199,1.3891162285476875
ABT,5,0.01,2026-08-05,2026-08-11,105.70999908447266,109.72000122070312,resistance,0.0379339908330345,0.0369339908330345,1,2026-08-04,0.004990771182474152,0.03194321965056035,0.7854550566720493
ABBV,5,0.01,2015-11-17,2015-11-24,38.91839599609375,39.40180969238281,hold_days,0.012421213257030939,0.011421213257030938,4,2015-11-13,0.020828414002885598,-0.00940720074585466,0.6983471037546051
ABBV,5,0.01,2016-05-20,2016-05-27,39.25131607055664,41.23722839355469,hold_days,0.050594795838902584,0.04959479583890258,1,2016-05-19,0.02712945618718754,0.022465339651715044,0.8497878936135028
ABBV,5,0.01,2016-07-20,2016-07-27,42.06357955932617,43.05198287963867,hold_days,0.023497841378869344,0.022497841378869343,1,2016-07-19,-0.00619302893562268,0.028690870314492023,0.6660497942481436
ABBV,5,0.01,2016-08-05,2016-08-12,44.139888763427734,44.571075439453125,hold_days,0.009768639842668847,0.008768639842668846,1,2016-08-04,0.0032263231218303545,0.005542316720838492,0.7077166072800143
ABBV,5,0.01,2017-01-12,2017-01-20,41.43938064575195,41.351470947265625,hold_days,-0.0021214047390772928,-0.003121404739077293,1,2017-01-11,0.0016130274787498067,-0.0047344322178270995,2.087644374677778
ABBV,5,0.01,2017-02-13,2017-02-16,40.9186897277832,41.57463073730469,resistance,0.0160303522396541,0.015030352239654099,3,2017-02-10,0.010473225592077418,0.004557126647576681,0.8572093134214419
ABBV,5,0.01,2017-08-18,2017-08-24,48.20920181274414,49.69076156616211,resistance,0.030731887227104293,0.029731887227104292,1,2017-08-17,0.0060397643598166795,0.023692122867287613,1.2129335056783221
ABBV,5,0.01,2018-06-28,2018-07-06,65.26673889160156,68.43721008300781,hold_days,0.0485771350805797,0.0475771350805797,1,2018-06-27,0.014325168535327393,0.03325196654525231,0.7436475062374343
ABBV,5,0.01,2018-11-26,2018-12-03,62.17584228515625,67.52538299560547,hold_days,0.08603889410801524,0.08503889410801524,3,2018-11-23,0.05396119009219569,0.03107770401581955,0.20341291762836278
ABBV,5,0.01,2019-01-29,2019-02-05,56.538047790527344,58.15821075439453,hold_days,0.028656153284065677,0.027656153284065677,1,2019-01-28,0.03213572020908595,-0.004479566925020273,1.9151912289581785
ABBV,5,0.01,2019-03-26,2019-04-02,58.939109802246094,60.624961853027344,hold_days,0.028603283226327214,0.027603283226327213,1,2019-03-25,0.019769569514399787,0.007833713711927426,0.6027442577346717
ABBV,5,0.01,2019-04-22,2019-04-29,57.79054260253906,59.38042068481445,hold_days,0.027511042649486006,0.026511042649486005,4,2019-04-18,0.009689002172765582,0.016822040476720423,1.6313363089625113
ABBV,5,0.01,2020-01-02,2020-01-09,68.21073913574219,68.71345520019531,hold_days,0.007370042764859974,0.006370042764859974,3,2019-12-30,0.0034484022873264575,0.0029216404775335167,1.0258420114388667
ABBV,5,0.01,2020-02-19,2020-02-26,72.67575073242188,68.25222778320312,hold_days,-0.060866560092448285,-0.061866560092448286,1,2020-02-18,-0.07856944024165802,0.01670288014920973,0.8373309880030302
ABBV,5,0.01,2020-08-11,2020-08-18,73.49408721923828,75.85742950439453,hold_days,0.03215690369901769,0.03115690369901769,1,2020-08-10,0.0023654795380225746,0.028791424160995116,1.0631464594556528
ABBV,5,0.01,2021-02-02,2021-02-09,84.14957427978516,85.71919250488281,hold_days,0.018652717361099302,0.0176527173610993,1,2021-02-01,0.03409240226124566,-0.016439684900146356,0.9845408413815682
